CountryID,Country,Latest year available,Municipal waste collected (1000 tonnes),Footnote,Latest year available,Total population served by municipal waste collection (%),Footnote,Latest year available,Municipal waste collected per capita served (kg)
604,Peru,2017,6083.36,22,2017,65.9,,2017,293.57
616,Poland,2017,11969,12,,...,,,…
620,Portugal,2017,5012,,,...,,,…
634,Qatar,2017,4064.49,,2017,100,,2017,"1,491.71"
410,Republic of Korea,2016,19627,,,...,,,…
498,Republic of Moldova,2017,3084.4,23,2017,30.9,,2017,"2,458.78"
638,Réunion,2015,489.89,,2015,100,,2015,567.42
642,Romania,2017,5325,,,...,,,…
662,Saint Lucia,2017,75,,2017,100,,2017,414.47
670,Saint Vincent and the Grenadines,2002,37.8,,2002,100,,2002,349.53
882,Samoa,2017,15.45,,2017,98.9,,2017,79.97
686,Senegal,2005,465,24,2007,21.4,,,…
688,Serbia,2015,1374,,2015,82,,2015,188.76
702,Singapore,2017,7806.2,,2017,100,,2017,"1,367.58"
703,Slovakia,2017,2058,,,...,,,…
705,Slovenia,2017,974,,,...,,,…
710,South Africa,,...,,2017,0.59,,,…
724,Spain,2017,21530,12,,...,,,…
144,Sri Lanka,2016,1378.1,,,...,,,…
275,State of Palestine,2016,1698.58,25,2015,94.5,,,…
736,Sudan (Former),2009,1355,26,,...,,,…
740,Suriname,2017,195.22,"27,28,29",2012,79.49,"28,30",,…
752,Sweden,2017,4551,,,...,,,…
756,Switzerland,2017,5992,,,...,,,…
760,Syrian Arab Republic,,...,,2004,74,,,…
764,Thailand,2017,21663,,2017,79,,2017,396.21
768,Togo,2012,197,,,...,,,…
780,Trinidad and Tobago,2002,425,31,1995,90,31,,…
788,Tunisia,2004,1316.25,,2004,65,32,2004,202.14
792,Turkey,2017,34173,12,,...,,,…
800,Uganda,2017,776.24,33,,...,,,…
804,Ukraine,2017,11271.2,,2017,77,,2017,329.03
784,United Arab Emirates,2017,6411.15,,2015,100,,,…
826,United Kingdom of Great Britain and Northern Ireland,2017,30911,,,...,,,…
834,United Republic of Tanzania,2015,512.53,34,,...,,,…
840,United States of America,2015,238045,,,...,,,…
858,Uruguay,2000,910,,,...,,,…
862,Venezuela (Bolivarian Republic of),2016,24394,"35,36",2016,75.8,37,2016,"1,078.08"
887,Yemen,2013,1581,38,2013,19.2,39,2013,327.45
894,Zambia,2005,388.8,40,2005,20,,2005,161.30
716,Zimbabwe,2017,732.78,41,2017,79.3,,2017,33.42
