CountryID,Country,Latest year available,"Paper, paperboard",Footnotes,Organic material,Footnotes,Plastics,Footnotes,Glass,Footnotes,Metals,Footnotes,Textiles,Footnotes,Other inorganic material,Footnotes,
688,Serbia,2015,8.70,,38.70,,14.10,,4.00,,5.30,,3.60,,25.60,,
702,Singapore,2017,19.33,,26.32,,25.62,,1.97,,0.31,,4.74,,21.71,,
710,South Africa,2011,8.00,37,...,,6.00,37,4.00,37,13.00,37,...,,...,,
144,Sri Lanka,2004,6.47,,68.86,38,5.91,,2.03,,2.76,,6.04,39,7.91,40,
275,State of Palestine,2015,15.00,,59.00,,12.00,,4.00,,4.00,,0.00,,6.00,,
729,Sudan,2011,11.80,,51.40,,12.70,,3.50,,1.70,,4.60,,14.30,,
736,Sudan (Former),2009,11.80,,49.50,,12.70,,3.50,,0.20,,4.60,,17.70,,
740,Suriname,2006,8.80,,...,,10.50,,5.40,,2.70,,...,,...,,
760,Syrian Arab Republic,2004,10.00,,60.00,,12.00,,2.50,,4.00,,2.50,,7.00,,
768,Togo,2012,4.00,,38.00,,10.00,,2.00,,4.00,,3.00,,39.00,,
780,Trinidad and Tobago,2003,32.22,41,14.35,41,23.59,41,2.55,41,15.71,41,1.64,41,9.95,41,
788,Tunisia,2007,10.00,,68.00,,11.00,,...,,4.00,,2.00,,5.00,42,
796,Turks and Caicos Islands,2004,31.50,,21.77,43,16.25,,20.54,,7.60,,0.48,,1.86,44,
800,Uganda,2017,1.40,,93.80,,2.00,,0.70,,0.40,,1.00,,0.70,,
804,Ukraine,2017,...,,...,,...,,...,,...,,...,,96.00,,
784,United Arab Emirates,2015,26.12,,27.62,,24.96,,3.40,,2.67,,3.76,,11.47,,
834,United Republic of Tanzania,2015,8.00,45,49.00,45,22.00,45,2.00,45,5.00,45,5.00,45,9.00,45,
858,Uruguay,2003,20.00,46,53.50,46,11.00,46,3.00,46,5.00,46,2.00,46,5.50,46,
862,Venezuela (Bolivarian Republic of),2015,20.00,,50.00,,10.00,,5.00,,4.00,,...,,11.00,,
704,Viet Nam,2010,2.70,,63.05,,30.94,47,...,,...,,3.30,,0.01,,
887,Yemen,2002,9.00,,47.00,,9.00,,3.00,,...,,...,,...,,
716,Zimbabwe,2017,16.16,,44.69,,15.36,,4.22,,4.55,,3.76,,11.19,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
