Country ID,Country,"Time Series - NOx total emissions, in 1000 t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NOx emissions, latest year",% change since 1990,"NOx  emissions per capita, 
latest year"
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,1000 t,%,kg
646,Rwanda,...,...,...,...,...,...,...,...,...,...,...,...,0.38,...,...,14.20,...,...,...,...,...,...,...,...,...,...,...,...,...,2005,14.20,...,1.61
662,Saint Lucia,...,...,...,...,1.34,...,...,...,...,...,1.84,...,...,...,...,2.10,...,...,...,...,2.70,...,...,...,...,...,...,...,...,2010,2.70,...,15.51
670,Saint Vincent and the Grenadines,28.78,...,...,...,25.81,...,...,27.86,...,...,0.86,...,...,...,1.35,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2004,1.35,-95.32,12.40
882,Samoa,...,...,...,...,0.97,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,0.97,...,5.75
674,San Marino,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1.54,...,...,1.81,...,...,...,...,...,...,...,...,2010,1.81,...,57.97
678,Sao Tome and Principe,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.75,...,...,...,...,...,...,2012,0.75,...,4.00
686,Senegal,...,...,...,...,...,...,...,...,...,...,5.96,...,...,...,...,34.57,...,...,...,...,...,...,...,...,...,...,...,...,...,2005,34.57,...,3.12
688,Serbia,207.28,...,...,...,...,...,...,...,164.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1998,164.00,-20.88,16.93
690,Seychelles,...,...,...,...,...,...,...,...,...,...,1.15,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,1.15,...,14.20
703,Slovakia,134.52,120.37,112.83,108.95,109.68,113.38,113.66,113.84,113.88,109.93,107.83,108.81,102.69,100.65,100.51,104.10,97.33,96.78,97.39,87.77,85.80,78.15,75.95,73.79,74.57,72.58,67.85,67.29,66.06,2018,66.06,-50.89,12.11
705,Slovenia,72.06,66.43,66.75,70.31,73.42,72.18,74.83,73.55,66.63,59.90,59.34,59.17,58.65,56.20,54.68,55.93,56.21,54.26,58.46,49.82,48.58,47.59,46.12,43.60,38.97,35.25,36.13,34.75,33.80,2018,33.80,-53.10,16.27
90,Solomon Islands,...,...,...,...,...,...,...,...,...,...,1.08,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,1.08,...,2.61
728,South Sudan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,30.21,51.48,61.35,62.04,...,...,...,2015,62.04,...,5.79
724,Spain,"1,421.22","1,462.40","1,503.19","1,458.78","1,490.41","1,466.48","1,454.69","1,432.98","1,415.52","1,442.76","1,475.32","1,441.44","1,468.15","1,471.67","1,490.60","1,464.00","1,423.35","1,414.08","1,207.40","1,086.47","1,010.99","1,001.41",945.51,851.46,844.55,857.72,815.38,818.05,772.60,2018,772.60,-45.64,16.55
144,Sri Lanka,...,...,...,52.00,60.47,62.00,...,...,...,...,83.68,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,83.68,...,4.46
729,Sudan,...,...,...,...,...,74.00,...,...,...,...,97.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,97.00,...,3.56
740,Suriname,...,...,...,...,...,...,...,...,...,...,...,...,...,9.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2003,9.00,...,18.44
752,Sweden,277.11,282.39,270.70,259.06,263.20,252.10,247.00,236.32,226.21,218.71,214.19,204.17,196.77,192.25,187.74,183.22,179.82,173.59,165.40,153.14,157.00,149.24,143.26,140.56,139.14,134.92,132.39,128.83,126.86,2018,126.86,-54.22,12.72
756,Switzerland,144.15,141.00,134.22,122.21,119.67,115.34,109.61,105.15,104.55,103.95,101.56,98.32,93.66,92.70,92.23,92.97,91.40,90.10,89.86,85.08,84.34,80.23,80.74,80.77,76.95,72.56,70.69,67.13,64.29,2018,64.29,-55.40,7.54
762,Tajikistan,74.00,76.00,53.30,42.00,23.00,17.00,12.00,15.00,15.00,12.00,9.00,12.00,12.00,12.00,12.00,11.00,11.00,7.00,8.00,7.00,6.00,...,...,...,...,...,...,...,...,2010,6.00,-91.89,0.80
764,Thailand,...,...,...,...,271.85,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,346.90",...,...,...,...,...,2013,1346.90,...,19.77
626,Timor-Leste,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1.82,...,...,...,...,...,...,...,...,2010,1.82,...,1.66
768,Togo,...,...,15.00,16.00,16.60,15.36,19.90,19.80,19.80,...,17.81,...,...,...,...,19.68,...,...,...,...,...,...,...,...,...,...,...,...,...,2005,19.68,...,3.51
776,Tonga,...,...,...,...,0.49,...,...,...,...,...,0.59,...,...,...,...,...,0.79,...,...,...,...,...,...,...,...,...,...,...,...,2006,0.79,...,7.76
780,Trinidad and Tobago,36.56,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1990,36.56,0.00,29.94
788,Tunisia,...,...,...,...,72.62,...,...,...,...,...,94.87,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,94.87,...,9.77
792,Turkey,254.37,272.83,298.33,294.84,"1,088.18","1,041.27","1,191.12","1,404.92","1,544.99","1,391.00","1,490.71","1,387.54","1,070.24",966.40,"1,368.30","1,300.93","1,269.72","1,215.82","1,131.31","1,017.30",955.74,960.06,835.53,811.89,800.18,800.56,804.87,777.19,782.80,2018,782.80,207.74,9.51
795,Turkmenistan,...,...,...,...,48.83,...,...,...,...,...,115.95,...,...,...,90.24,...,...,...,...,...,169.59,...,...,...,...,...,...,...,...,2010,169.59,...,33.34
798,Tuvalu,...,...,...,...,0.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.10,...,...,...,...,2014,0.10,...,8.78
800,Uganda,...,...,...,...,"1,200.32",...,...,...,...,...,71.77,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,71.77,...,3.03
804,Ukraine,"2,273.62","1,907.36","1,620.51","1,384.41","1,206.00","1,091.23","1,063.83",967.32,987.17,925.05,856.58,863.08,866.60,885.97,899.21,895.75,960.72,917.68,913.09,756.25,773.73,809.72,775.19,771.21,673.81,561.46,580.29,572.57,590.11,2018,590.11,-74.05,13.34
784,United Arab Emirates,...,...,...,...,163.00,...,...,...,...,...,248.00,...,...,...,...,332.00,...,...,...,...,...,...,...,...,...,...,...,...,...,2005,332.00,...,72.36
826,United Kingdom of Great Britain and Northern Ireland,"3,085.66","2,991.77","2,930.35","2,761.63","2,659.25","2,533.69","2,426.43","2,235.18","2,172.07","2,055.41","1,979.00","1,941.32","1,838.60","1,805.96","1,756.15","1,741.40","1,681.48","1,618.27","1,455.88","1,262.60","1,234.61","1,148.04","1,171.88","1,113.43","1,042.98","1,007.06",907.08,881.09,833.30,2018,833.30,-72.99,12.41
834,United Republic of Tanzania,156.68,...,...,...,161.34,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,161.34,2.97,5.60
840,United States of America,"21,710.71","21,386.41","21,458.95","21,546.50","21,552.40","21,206.88","21,060.20","20,977.04","20,683.45","19,438.06","19,118.90","18,219.95","20,282.49","19,156.55","18,015.93","17,189.82","16,276.84","15,366.05","14,308.33","13,305.14","12,492.46","12,260.56","11,719.70","11,178.57","10,628.41","9,952.48","9,465.58","8,983.66","8,583.10",2018,8583.10,-60.47,26.24
858,Uruguay,44.52,...,...,...,47.93,...,...,...,46.38,...,33.84,...,38.26,...,41.54,...,45.40,...,56.60,...,52.50,...,60.30,...,52.90,...,57.00,57.30,...,2017,57.30,28.71,16.67
860,Uzbekistan,411.79,379.20,346.16,319.63,294.83,285.77,279.52,284.63,273.75,280.77,286.19,285.41,285.39,267.81,269.75,252.68,258.52,251.30,265.43,260.11,252.99,261.42,275.62,...,...,...,...,...,...,2012,275.62,-33.07,9.36
548,Vanuatu,...,...,...,...,0.08,...,...,...,...,...,0.44,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,0.44,...,2.38
862,Venezuela (Bolivarian Republic of),...,...,...,...,...,...,...,...,...,394.79,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1999,394.79,...,16.63
704,Viet Nam,...,...,...,...,179.29,...,...,...,...,...,277.76,...,...,...,...,...,...,...,...,...,...,...,...,50.36,...,...,...,...,...,2013,50.36,...,0.55
887,Yemen,...,...,...,...,...,89.07,...,...,...,...,115.00,...,...,...,...,...,...,...,...,...,102.00,...,104.78,...,...,...,...,...,...,2012,104.78,...,4.28
894,Zambia,...,...,...,...,"1,186.61",...,...,...,...,...,"1,262.23",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,1262.23,...,121.18
716,Zimbabwe,...,...,...,...,77.19,...,...,...,...,...,148.83,...,...,...,...,...,"1,059.96",...,...,...,...,...,...,...,...,...,...,...,...,2006,1059.96,...,87.20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
